,Name,Institution1,Institution2
2442,Luc  Christiaensen ,"World Bank Group, Washington, District of Columbia (USA)",
2443,Bruce  Preston ,"Faculty of Business and Economics, University of Melbourne, Melbourne, Australia",
2444,Bill  Dupor ,"Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",
2445,Richard H. Steckel ,"Department of Economics, Ohio State University, Columbus, Ohio (USA)",
2446,Mark  Wright ,"Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)",
2447,Philip A. Haile ,"Economics Department, Yale University, New Haven, Connecticut (USA)",
2448,Nathan  Balke ,"Department of Economics, Southern Methodist University, Dallas, Texas (USA)",
2449,James Byron Davies ,"Department of Economics, University of Western Ontario, London, Canada",
2450,Heinrich W. Ursprung ,"Fachbereich Wirtschaftswissenschaften, Universität Konstanz, Konstanz, Germany",
2451,Jean-Michel  Zakoian ,"Centre de Recherche en Économie et Statistique (CREST), France",
2452,David I. Harvey ,"Granger Centre for Time Series Econometrics, School of Economics, University of Nottingham, Nottingham, United Kingdom",
2453,Junsoo  Lee ,"Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-Tuscaloosa, Tuscaloosa, Alabama (USA)","Culverhouse College of Business, University of Alabama-Tuscaloosa, Tuscaloosa, Alabama (USA)"
2454,Willard G. Manning †,,
2455,Zvi  Bodie ,"Department of Finance, Questrom School of Business, Boston University, Boston, Massachusetts (USA)",
2456,John J. Seater ,"Department of Economics, Poole College of Management, North Carolina State University, Raleigh, North Carolina (USA)",
2457,Gustavo  Yamada ,"Departamento Académico de Economía, Universidad del Pacífico, Lima, Peru",
2458,Hideo  Konishi ,"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",
2459,Gary Clyde Hufbauer ,"Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",
2460,Jerome L. Stein †,,
2461,Espen R. Moen ,"Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",
2462,Alexander  Michaelides ,"Business School, Imperial College, London, United Kingdom",
2463,Nancy Lin Rose ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
2464,Hamish  Low ,"Department of Economics, Oxford University, Oxford, United Kingdom",
2465,Yongsung  Chang ,"Division of Economics, Seoul National University, Seoul, South Korea",
2466,Elena  Carletti ,"Dipartimento di Finanza, Università Commerciale Luigi Bocconi, Milano, Italy","Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi, Milano, Italy"
2467,Theodore Francis Groves Jr.,"Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",
2468,Gavin  Wright ,"Department of Economics, Stanford University, Stanford, California (USA)",
2469,Alma  Cohen ,,
2470,Ajay K. Agrawal ,"Rotman School of Management, University of Toronto, Toronto, Canada",
2471,Paul  Söderlind ,"Schweizerisches Institut für Banken und Finanzen (SBF), School of Finance, Universität St. Gallen, Sankt Gallen, Switzerland",
2472,Michael  Smart ,"Department of Economics, University of Toronto, Toronto, Canada",
2473,Michael F. Lovenheim ,"Department of Policy Analysis and Management, College of Human Ecology, Cornell University, Ithaca, New York (USA)",
2474,Rob J Hyndman ,"Department of Econometrics and Business Statistics, Monash Business School, Monash University, Melbourne, Australia",
2475,David  Perez-Castrillo ,"Unitat de Fonaments de l'Anàlisi Econòmica, Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
2476,Tony  Lancaster ,,
2477,Jean-Paul  Fitoussi ,"Department of Economics, Sciences économiques, Sciences Po, Paris, France",
2478,Daniel  Tsiddon ,"Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",
2479,Karl Ove  Moene ,"Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",
2480,Raymond C. Battalio †,,
2481,Piero  Gottardi ,"Economics Department, University of Essex, Colchester, United Kingdom",
2482,Stephen  Polasky ,"Department of Applied Economics, College of Agricultural, Food, and Environmental Sciences, University of Minnesota-St. Paul, St. Paul, Minnesota (USA)",
2483,Matthew A. Cole ,"Department of Economics, University of Birmingham, Birmingham, United Kingdom",
2484,Peter  Tinsley †,,
2485,Hao  Zhou ,"PBC School of Finance, Tsinghua University, Beijing, China",
2486,Yujiro  Hayami †,,
2487,Paul  Gomme ,"Department of Economics, Concordia University, Montréal, Canada",
2488,Vikrant  Vig ,"London Business School (LBS), London, United Kingdom",
2489,Luc L. Soete ,"United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",
2490,José  Mata ,"Faculté des Hautes Études Commerciales (HEC), Université de Lausanne, Lausanne, Switzerland",
2491,Paul A. Ruud ,"Economics Department, Vassar College, Poughkeepsie, New York (USA)",
2492,Joachim  von Braun ,"Zentrum für Entwicklungsforschung (ZEF), Rheinische Friedrich-Wilhelms-Universität Bonn, Bonn, Germany",
2493,Yuhang  Xing ,"Shanghai Advanced Institute of Finance (SAIF), Shanghai Jiao Tong University, Shanghai, China",
2494,Theo  Nijman ,"Departement Econometrie &amp; Operations Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",
2495,Christoph  Böhringer ,"Institut für Volkswirtschaftslehre, Carl von Ossietzky Universität Oldenburg, Oldenburg, Germany",
2496,Gerhard  Glomm ,"Department of Economics, Indiana University, Bloomington, Indiana (USA)",
2497,Harry Anthony Patrinos ,"World Bank Group, Washington, District of Columbia (USA)",
2498,Jonathan  Wadsworth ,"Department of Economics, Royal Holloway, Egham, United Kingdom",
2499,Sushil  Wadhwani ,,
2500,Shigeyuki  Hamori ,"Faculty of Economics, Kobe University, Kobe, Japan",
2501,Jeffrey C. Ely ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
2502,Sébastien  Laurent ,"École d'Économie d'Aix-Marseille, Aix-Marseille Université, Aix-en-Provence/Marseille, France",
2503,Olivier  Scaillet ,"Geneva School of Economics and Management, Université de Genève, Genève, Switzerland","Geneva Finance Research Institute (GFRI), Université de Genève, Genève, Switzerland"
2504,Manthos D. Delis ,"Montpellier Business School, Montpellier, France",
2505,Philippe  Van Kerm ,"Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD), Esch-sur-Alzette, Luxembourg","PEARL Institute for Research on Socio-Economic Inequality (IRSEI), Integrative Research Unit on Social and Individual Development (INSIDE), Université du Luxembourg, Luxembourg, Luxembourg"
2506,John C. Whitehead ,"Department of Economics, Appalachian State University, Boone, North Carolina (USA)",
2507,Robert G Chambers ,"Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)",
2508,Hitoshi  Matsushima ,"Faculty of Economics, University of Tokyo, Tokyo, Japan",
2509,Rikard  Forslid ,"Nationalekonomiska institutionen, Stockholms Universitet, Stockholm, Sweden",
2510,Thomas  Mayer †,,
2511,Joan  Costa-i-Font ,"Department of Health Policy, London School of Economics (LSE), London, United Kingdom",
2512,Andrew  Filardo ,"Bank for International Settlements (BIS), Basel, Switzerland",
2513,David  Strömberg ,"Nationalekonomiska institutionen, Stockholms Universitet, Stockholm, Sweden",
2514,Rabah  Arezki ,"Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",
2515,Christophe  Hurlin ,"Laboratoire d'Économie d'Orléans (LEO), Faculté de droit, d'économie et de gestion, Université d'Orléans, Orléans, France",
2516,Claudio E. Raddatz ,"Banco Central de Chile, Santiago, Chile",
2517,Henry  Tulkens ,"Center for Operations Research and Econometrics (CORE), École des Sciences Économiques de Louvain, Université Catholique de Louvain, Louvain-la-Neuve, Belgium","CESifo, München, Germany"
2518,Andreas  Lange ,"Fachbereich Volkswirtschaftslehre, Universität Hamburg, Hamburg, Germany",
2519,Jan Willem  Gunning ,"Afdeling Ontwikkelings Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",
2520,Hervé  Le Bihan ,"Banque de France, Paris, France",
2521,Daniel John Zizzo ,"School of Economics, University of Queensland, Brisbane, Australia",
2522,Sabina  Alkire ,"Department of International Development (Queen Elizabeth House), Oxford University, Oxford, United Kingdom",
2523,Peter  Mieszkowski ,,
2524,Luigi  Siciliani ,"Department of Economics and Related Studies, University of York, York, United Kingdom",
2525,D.S. Prasada  Rao ,"School of Economics, University of Queensland, Brisbane, Australia","Centre for Efficiency and Productivity Analysis (CEPA), School of Economics, University of Queensland, Brisbane, Australia"
2526,Edgar L Feige ,"Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
2527,Sonia Radhika Bhalotra ,"Economics Department, University of Essex, Colchester, United Kingdom",
2528,Roland  Straub ,"European Central Bank, Frankfurt am Main, Germany",
2529,Yue  Ma ,"Department of Economics and Finance, College of Business, City University, Kowloon, Hong Kong",
2530,Xiaoyan  Zhang ,"Shanghai Advanced Institute of Finance (SAIF), Shanghai Jiao Tong University, Shanghai, China",
2531,Carl-Johan  Dalgaard ,"Økonomisk Institut, Københavns Universitet, København, Denmark",
2532,Andrew  Mountford ,"Department of Economics, Royal Holloway, Egham, United Kingdom",
2533,Motty  Perry ,"Department of Economics, University of Warwick, Coventry, United Kingdom",
2534,Gikas A. Hardouvelis ,"Department of Banking and Financial Management, University of Piraeus, Piraeus, Greece",
2535,Pedro S. Martins ,"School of Business and Management, Queen Mary University of London, London, United Kingdom",
2536,Michael  Koetter ,"Leibniz-Institut für Wirtschaftsforschung Halle (IWH), Halle, Germany",
2537,Donald O. Parsons ,"Department of Economics, George Washington University, Washington, District of Columbia (USA)","Institute of Labor Economics (IZA), Bonn, Germany"
2538,Jean-François  Mertens †,,
2539,Olivier  Deschenes ,"Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",
2540,Gerrit Cornelis van Kooten ,"Department of Economics, University of Victoria, Victoria, Canada",
2541,John  Hassler ,"Institute for International Economic Studies (IIES), Stockholms Universitet, Stockholm, Sweden",
2542,Denis  Gromb ,"Départment de Finance et Économie, HEC Paris (École des Hautes Études Commerciales), Jouy-en-Josas, France",
2543,Gabriele  Camera ,"Economic Science Institute (ESI), Argyros School of Business and Economics, Chapman University, Orange, California (USA)",
2544,Claudia  Senik ,"Paris School of Economics, Paris, France",
2545,Marcus  Noland ,"Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",
2546,Daniel  Treisman ,,
2547,Patricia Lyon Mokhtarian ,,
2548,Andrew F. Daughety ,"Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",
2549,Cathal  O'Donoghue ,"Department of Economics, National University of Ireland, Galway, Ireland",
2550,Emanuel  Ornelas ,"Escola de Economia de São Paulo (EESP), Fundação Getúlio Vargas (FGV), São Paulo, Brazil",
2551,Tooraj  Jamasb ,"Økonomisk Institut, Copenhagen Business School, Frederiksberg, Denmark",
2552,Philipp Albert Theodor Kircher ,"School of Economics, University of Edinburgh, Edinburgh, United Kingdom",
2553,Hartmut  Egger ,"Lehrstuhl für Volkswirtschaftlehre II, Rechts- und Wirtschaftswissenschaftliche Fakultät, Universität Bayreuth, Bayreuth, Germany",
2554,Erik  Stafford ,"Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",
2555,Martín A Rossi ,"Departamento de Economía, Universidad de San Andrés, Buenos Aires, Argentina",
2556,Jos  van Ommeren ,"School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands","Tinbergen Instituut, Amsterdam, Netherlands"
2557,Sören  Blomquist ,"Uppsala Center for Fiscal Studies (UCFS), Nationalekonomiska Institutionen, Uppsala Universitet, Uppsala, Sweden",
2558,Carsten  Hefeker ,"Professur für Volkswirtschaftslehre, Europäische Wirtschaftspolitik, Fakultät Wirtschaftswissenschaften, Wirtschaftsinformatik und Wirtschaftsrecht, Universität Siegen, Siegen, Germany",
2559,Klaus E. Meyer ,"Ivey School of Business, University of Western Ontario, London, Canada",
2560,Frederic  Robert-Nicoud ,"Geneva School of Economics and Management, Université de Genève, Genève, Switzerland",
2561,Malcolm  Sawyer ,"Leeds University Business School (LUBS), University of Leeds, Leeds, United Kingdom","Forum for Macroeconomics and Macroeconomic Policies, Hans Böckler Stiftung, Düsseldorf, Germany"
2562,Miguel  Leon-Ledesma ,"School of Economics, University of Kent, Canterbury, United Kingdom",
2563,Josef  Zechner ,"WU Wirtschaftsuniversität Wien, Wien, Austria",
2564,Nico  Voigtländer ,"Center for Global Management, Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
2565,Alan S Duncan ,"Bankwest Curtin Economics Centre, Curtin Business School, Curtin University, Perth, Australia",
2566,Raaj Kumar Sah ,"Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",
2567,Ignazio  Angeloni ,,
2568,Joel L. Horowitz ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
2569,Monica  Costa Dias ,"Institute for Fiscal Studies (IFS), London, United Kingdom",
2570,Martin  Brown ,"School of Finance, Universität St. Gallen, Sankt Gallen, Switzerland",
2571,Kathleen  Segerson ,"Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",
2572,Elie  Tamer ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
2573,Juan-Camilo  Cardenas ,"Facultad de Economía, Universidad de los Andes, Bogotá, Colombia","Centro de Estudios Sobre Desarrollo Económico (CEDE), Facultad de Economía, Universidad de los Andes, Bogotá, Colombia"
